t;x;y;z;vx;vy;vz;a;e;w;i;raan;nu
3300;-6783272.51480364;-1211294.58939422;-2444381.48074995;2822.60800929419;-2978.37135959488;-5935.18147099503;6996339.31756659;0.04906820709791;-0.00685870571473274;1.10643092962068;-0.00193009911013161;-2.75149537386959
3330;-6695490.86239027;-1300075.54669934;-2621283.80685753;3029.11229001991;-2939.89492031397;-5857.37937897372;6996065.87986816;0.0491156460571506;-0.00695099120961391;1.10641997165995;-0.00193525515283085;-2.72178205193235
3360;-6601550.03881857;-1387660.53811734;-2795768.80603188;3233.19054729977;-2898.64400698935;-5774.03389308616;6995775.7282019;0.0491646253151874;-0.00695778661115752;1.10640837546319;-0.00194116963104937;-2.69211773199731
3390;-6501525.42290181;-1473966.6718731;-2967670.87382402;3434.66959768195;-2854.64174454495;-5685.19209689717;6995469.61894639;0.0492147681535581;-0.00687675252363757;1.10639617717824;-0.00194788698662859;-2.66250222599344
3420;-6395497.58663253;-1558911.77666607;-3136825.87193262;3633.37641868454;-2807.91304502262;-5590.90466068067;6995148.36067173;0.0492656866883038;-0.00670622171314948;1.10638341513586;-0.00195544964564325;-2.63293469040867
3450;-6283552.28978581;-1642414.45577178;-3303071.2367822;3829.13818751657;-2758.48464039407;-5491.22590711841;6994812.81391561;0.0493169844757857;-0.00644521290221746;1.10637012978239;-0.00196389788167757;-2.60341361388093
3480;-6165780.47327988;-1724394.14215291;-3466246.09012273;4021.7823252674;-2706.38511704526;-5386.21388033095;6994463.89086865;0.0493682591881612;-0.00609344018870361;1.10635636360639;-0.00197326967936986;-2.57393680921635
3510;-6042278.25112433;-1804771.15462879;-3626191.35174779;4211.1365469295;-2651.64495183907;-5275.93041804994;6994102.55495435;0.0494191053453933;-0.00565131818084484;1.10634216105886;-0.00198360059847493;-2.54450140974527
3540;-5913146.90077568;-1883466.75514931;-3782749.85442241;4397.02891762157;-2594.29654965305;-5160.44122672267;6993729.82028911;0.0494691170909319;-0.00511996296051221;1.10632756846677;-0.00199492363873444;-2.51510386990693
3570;-5778492.85170862;-1960403.20721553;-3935766.4611052;4579.28791538114;-2534.37428227977;-5039.81595932061;6993346.75100625;0.0495178909984639;-0.00450118900021243;1.10631263393975;-0.00200726910588974;-2.48573996993958
3600;-5638427.67200019;-2035503.83548634;-4085088.18454223;4757.74250089649;-2471.9145285669;-4914.12829560324;6992954.46042772;0.0495650288973856;-0.00379750216589661;1.10629740726945;-0.00202066447921839;-2.45640482454655
3630;-5493068.05271344;-2108693.0866062;-4230564.30930232;4932.22219454856;-2406.95571566351;-4783.45602456709;6992554.11006667;0.0496101407048585;-0.00301208893799222;1.10628193982145;-0.00203513428102313;-2.42709289540808
3660;-5342535.78985546;-2179896.59128508;-4372046.51631488;5102.55716113268;-2339.53836122793;-4647.88112878658;6992146.90844305;0.0496528472524532;-0.0021488019772309;1.10626628441942;-0.00205069994855152;-2.39779800741436
3690;-5186957.76367395;-2249041.22765714;-4509389.00996249;5268.57830262865;-2269.70511644;-4507.48987032968;6991734.10969464;0.0496927830954414;-0.00121214215089571;1.1062504952212;-0.00206737970887652;-2.36851336850627
3720;-5026465.91504545;-2316055.18593971;-4642448.6477703;5430.11735938499;-2197.50080964859;-4362.37287790519;6991317.01196495;0.0497295992927509;-0.000207237119223044;1.10623462758673;-0.00208518845731923;-2.33923159302563
3750;-4861197.21869727;-2380868.03440896;-4771085.07272368;5587.0070200789;-2122.97249047107;-4212.62523487227;6990896.9555497;0.0497629661454183;0.000860183437854138;1.10621873793745;-0.00210413764004851;-2.30994472849637
3780;-4691293.65299445;-2443410.7867029;-4895160.84823423;5739.08104080804;-2046.16947414821;-4058.34656771399;6990475.32078337;0.0497925758810686;0.00198381589585564;1.10620288360714;-0.00212423514154583;-2.28064428578019
3810;-4516902.16601279;-2503615.97045622;-5014541.59576162;5886.17437366257;-1967.14338594263;-3899.64113454755;6990053.52564733;0.0498181452714904;0.00315681402951634;1.10618712268398;-0.00214548517767579;-2.25132127257435
3840;-4338174.63760807;-2561417.69726494;-5129096.13508557;6028.12330511652;-1885.94820535387;-3736.61791321245;6989633.02308159;0.0498394181697702;0.00437182361726638;1.10617151384377;-0.00216788819515598;-2.22196623024445
3870;-4155267.83718233;-2616751.73397174;-5238696.62720811;6164.76560456574;-1802.64030990698;-3569.39068844593;6989215.29798257;0.0498561679526896;0.0056210203234601;1.10615611617418;-0.00219144077827033;-2.1925692740098
3900;-3968343.37683767;-2669555.57525527;-5343218.71985079;6295.94068332559;-1717.27851825482;-3398.0781376212;6988801.86386999;0.0498681998531751;0.00689615089918051;1.10614098899024;-0.00221613556371996;-2.16312013652207
